split,topic,input_sentences,input_words,reference_sentences,reference_words,reference_sentence_ceiling_100_words
train,d061j,186,3679,18,383,6
train,d062j,120,2704,0,0,0
train,d063j,253,4849,18,387,7
train,d064j,199,4204,19,375,10
train,d065j,309,5545,12,358,4
train,d066j,204,3937,19,386,7
train,d067f,134,2841,0,0,0
train,d068f,136,2591,0,0,0
train,d069f,331,7794,14,367,6
train,d070f,167,3149,16,383,6
train,d071f,155,2106,0,0,0
train,d072f,378,7902,0,0,0
train,d073b,253,3555,12,371,4
train,d074b,256,3459,0,0,0
train,d075b,277,5851,13,395,4
train,d076b,323,6313,13,373,4
train,d077b,340,6459,14,377,6
train,d078b,276,5005,0,0,0
train,d079a,316,6408,14,375,5
train,d080a,557,10438,10,338,4
train,d081a,299,6076,17,367,8
train,d082a,209,4856,12,385,4
train,d083a,224,4311,17,369,7
train,d084a,366,7481,0,0,0
train,d085d,224,4456,0,0,0
train,d086d,416,7906,0,0,0
train,d087d,292,6045,17,375,8
train,d089d,386,7157,18,377,6
train,d090d,261,5000,0,0,0
train,d091c,280,4940,13,374,4
train,d092c,291,4762,19,363,9
train,d093c,264,3911,18,399,7
train,d094c,185,4090,10,321,4
train,d095c,240,4578,13,386,5
train,d096c,274,4207,15,379,5
train,d097e,225,4817,0,0,0
train,d098e,454,9007,0,0,0
train,d099e,469,7457,20,361,9
train,d100e,592,9767,10,332,3
train,d101e,514,7810,10,379,3
train,d102e,678,12181,16,386,6
train,d103g,219,3923,18,382,6
train,d104g,352,5513,0,0,0
train,d105g,266,6162,11,369,5
train,d106g,237,3979,0,0,0
train,d107g,271,4990,12,366,3
train,d108g,216,3785,0,0,0
train,d109h,143,3825,20,352,11
train,d110h,453,8492,20,352,9
train,d111h,214,4293,14,370,5
test,d112h,238,4566,11,356,3
test,d113h,157,2704,14,372,5
test,d114h,368,6831,18,374,7
test,d115i,261,5010,21,368,9
test,d116i,337,6912,16,379,5
test,d117i,281,5476,15,335,7
test,d118i,376,7106,12,366,4
test,d119i,227,4636,10,381,3
test,d120i,387,7720,6,207,3
