config_id,split,topic,status,similarity_threshold,pagerank_damping,pagerank_tolerance,pagerank_max_iterations,max_summary_words,use_mmr,mmr_lambda,true_positive,predicted,reference,precision,recall,f1,hit_at_1,hit_at_3,hit_at_5,word_count,budget_utilization,nodes,edges,density,isolated_nodes,isolated_ratio,average_degree,connected_components,mean_redundancy,max_redundancy,pagerank_iterations,runtime_seconds
t=0.10|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d061j,converged,0.1,0.85,1e-08,1000,100,True,0.7,1,5,18,0.2,0.05555555555555555,0.08695652173913045,0,0,1,99,0.99,186,820,0.047660563789596044,3,0.016129032258064516,8.817204301075268,4,0.09256608317850995,0.26991896952107053,50,0.024585791999999884
t=0.10|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d062j,converged,0.1,0.85,1e-08,1000,100,True,0.7,0,5,0,0.0,0.0,0.0,0,0,0,100,1.0,120,220,0.03081232492997199,5,0.041666666666666664,3.6666666666666665,8,0.05240021628742979,0.24710351783829648,57,0.011452750000000123
t=0.10|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d063j,converged,0.1,0.85,1e-08,1000,100,True,0.7,1,6,18,0.16666666666666666,0.05555555555555555,0.08333333333333333,0,1,1,100,1.0,253,1070,0.03356546834807704,8,0.03162055335968379,8.458498023715414,9,0.02303949931719543,0.17436161574106454,55,0.037474833000000096
t=0.10|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d064j,converged,0.1,0.85,1e-08,1000,100,True,0.7,0,7,19,0.0,0.0,0.0,0,0,0,100,1.0,199,492,0.024973351606517435,12,0.06030150753768844,4.944723618090452,15,0.050979284432277214,0.33172481163021783,47,0.024222207999999856
t=0.10|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d065j,converged,0.1,0.85,1e-08,1000,100,True,0.7,0,6,12,0.0,0.0,0.0,0,0,0,100,1.0,309,1301,0.027339973941915688,15,0.04854368932038835,8.420711974110032,17,0.03186825418558077,0.2032272410895456,43,0.0472928330000002
t=0.10|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d066j,converged,0.1,0.85,1e-08,1000,100,True,0.7,2,9,19,0.2222222222222222,0.10526315789473684,0.14285714285714285,1,1,1,100,1.0,204,447,0.021587945523036802,14,0.06862745098039216,4.382352941176471,16,0.04901348934634795,0.6992670818440824,66,0.026668833000000003
t=0.10|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d067f,converged,0.1,0.85,1e-08,1000,100,True,0.7,0,4,0,0.0,0.0,0.0,0,0,0,100,1.0,134,437,0.04904051172707889,7,0.05223880597014925,6.522388059701493,9,0.1589394450865342,0.5862041332101912,70,0.015565667000000172
t=0.10|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d068f,converged,0.1,0.85,1e-08,1000,100,True,0.7,0,10,0,0.0,0.0,0.0,0,0,0,100,1.0,136,582,0.06339869281045751,8,0.058823529411764705,8.558823529411764,9,0.0828431606553362,0.9999999999999999,52,0.028438500000000033
t=0.10|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d069f,converged,0.1,0.85,1e-08,1000,100,True,0.7,0,4,14,0.0,0.0,0.0,0,0,0,100,1.0,331,1491,0.027300192254875035,8,0.02416918429003021,9.009063444108762,9,0.13392990372232264,0.24329259656918506,35,0.062378874999999834
t=0.10|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d070f,converged,0.1,0.85,1e-08,1000,100,True,0.7,1,7,16,0.14285714285714285,0.0625,0.08695652173913043,1,1,1,100,1.0,167,661,0.04768775701608831,11,0.0658682634730539,7.916167664670659,12,0.0793164400717916,0.3394669290404032,51,0.019312874999999785
