row_type,topic,k,eligible_topics,prediction_count,reference_count,matched_at_k,precision_at_k,recall_at_k,f1_at_k,hit_at_k
topic,d061j,1,1,5,18,1,1.0,0.05555555555555555,0.10526315789473684,1.0
topic,d061j,2,1,5,18,1,0.5,0.05555555555555555,0.09999999999999999,1.0
topic,d061j,3,1,5,18,1,0.3333333333333333,0.05555555555555555,0.09523809523809525,1.0
topic,d061j,4,1,5,18,2,0.5,0.1111111111111111,0.1818181818181818,1.0
topic,d061j,5,1,5,18,2,0.4,0.1111111111111111,0.1739130434782609,1.0
topic,d063j,1,1,6,18,0,0.0,0.0,0.0,0.0
topic,d063j,2,1,6,18,0,0.0,0.0,0.0,0.0
topic,d063j,3,1,6,18,1,0.3333333333333333,0.05555555555555555,0.09523809523809525,1.0
topic,d063j,4,1,6,18,1,0.25,0.05555555555555555,0.0909090909090909,1.0
topic,d063j,5,1,6,18,1,0.2,0.05555555555555555,0.08695652173913045,1.0
topic,d063j,6,1,6,18,1,0.16666666666666666,0.05555555555555555,0.08333333333333333,1.0
topic,d064j,1,1,7,19,0,0.0,0.0,0.0,0.0
topic,d064j,2,1,7,19,0,0.0,0.0,0.0,0.0
topic,d064j,3,1,7,19,0,0.0,0.0,0.0,0.0
topic,d064j,4,1,7,19,0,0.0,0.0,0.0,0.0
topic,d064j,5,1,7,19,0,0.0,0.0,0.0,0.0
topic,d064j,6,1,7,19,0,0.0,0.0,0.0,0.0
topic,d064j,7,1,7,19,0,0.0,0.0,0.0,0.0
topic,d065j,1,1,6,12,0,0.0,0.0,0.0,0.0
topic,d065j,2,1,6,12,0,0.0,0.0,0.0,0.0
topic,d065j,3,1,6,12,0,0.0,0.0,0.0,0.0
topic,d065j,4,1,6,12,0,0.0,0.0,0.0,0.0
topic,d065j,5,1,6,12,0,0.0,0.0,0.0,0.0
topic,d065j,6,1,6,12,0,0.0,0.0,0.0,0.0
topic,d066j,1,1,9,19,1,1.0,0.05263157894736842,0.1,1.0
topic,d066j,2,1,9,19,2,1.0,0.10526315789473684,0.1904761904761905,1.0
topic,d066j,3,1,9,19,2,0.6666666666666666,0.10526315789473684,0.18181818181818182,1.0
topic,d066j,4,1,9,19,2,0.5,0.10526315789473684,0.17391304347826086,1.0
topic,d066j,5,1,9,19,2,0.4,0.10526315789473684,0.16666666666666666,1.0
topic,d066j,6,1,9,19,2,0.3333333333333333,0.10526315789473684,0.16,1.0
topic,d066j,7,1,9,19,2,0.2857142857142857,0.10526315789473684,0.15384615384615385,1.0
topic,d066j,8,1,9,19,2,0.25,0.10526315789473684,0.14814814814814814,1.0
topic,d066j,9,1,9,19,2,0.2222222222222222,0.10526315789473684,0.14285714285714285,1.0
topic,d069f,1,1,4,14,0,0.0,0.0,0.0,0.0
topic,d069f,2,1,4,14,0,0.0,0.0,0.0,0.0
topic,d069f,3,1,4,14,0,0.0,0.0,0.0,0.0
topic,d069f,4,1,4,14,0,0.0,0.0,0.0,0.0
topic,d070f,1,1,7,16,1,1.0,0.0625,0.11764705882352941,1.0
topic,d070f,2,1,7,16,1,0.5,0.0625,0.1111111111111111,1.0
topic,d070f,3,1,7,16,1,0.3333333333333333,0.0625,0.10526315789473684,1.0
topic,d070f,4,1,7,16,1,0.25,0.0625,0.1,1.0
topic,d070f,5,1,7,16,1,0.2,0.0625,0.09523809523809523,1.0
topic,d070f,6,1,7,16,1,0.16666666666666666,0.0625,0.09090909090909091,1.0
topic,d070f,7,1,7,16,1,0.14285714285714285,0.0625,0.08695652173913043,1.0
topic,d073b,1,1,9,12,0,0.0,0.0,0.0,0.0
topic,d073b,2,1,9,12,0,0.0,0.0,0.0,0.0
topic,d073b,3,1,9,12,0,0.0,0.0,0.0,0.0
topic,d073b,4,1,9,12,0,0.0,0.0,0.0,0.0
topic,d073b,5,1,9,12,0,0.0,0.0,0.0,0.0
topic,d073b,6,1,9,12,0,0.0,0.0,0.0,0.0
topic,d073b,7,1,9,12,0,0.0,0.0,0.0,0.0
topic,d073b,8,1,9,12,0,0.0,0.0,0.0,0.0
topic,d073b,9,1,9,12,0,0.0,0.0,0.0,0.0
topic,d075b,1,1,5,13,0,0.0,0.0,0.0,0.0
topic,d075b,2,1,5,13,1,0.5,0.07692307692307693,0.13333333333333336,1.0
topic,d075b,3,1,5,13,1,0.3333333333333333,0.07692307692307693,0.125,1.0
topic,d075b,4,1,5,13,1,0.25,0.07692307692307693,0.11764705882352941,1.0
topic,d075b,5,1,5,13,1,0.2,0.07692307692307693,0.1111111111111111,1.0
topic,d076b,1,1,10,13,0,0.0,0.0,0.0,0.0
topic,d076b,2,1,10,13,0,0.0,0.0,0.0,0.0
topic,d076b,3,1,10,13,0,0.0,0.0,0.0,0.0
topic,d076b,4,1,10,13,0,0.0,0.0,0.0,0.0
topic,d076b,5,1,10,13,0,0.0,0.0,0.0,0.0
topic,d076b,6,1,10,13,0,0.0,0.0,0.0,0.0
topic,d076b,7,1,10,13,0,0.0,0.0,0.0,0.0
topic,d076b,8,1,10,13,0,0.0,0.0,0.0,0.0
topic,d076b,9,1,10,13,0,0.0,0.0,0.0,0.0
topic,d076b,10,1,10,13,0,0.0,0.0,0.0,0.0
topic,d077b,1,1,9,14,0,0.0,0.0,0.0,0.0
topic,d077b,2,1,9,14,0,0.0,0.0,0.0,0.0
topic,d077b,3,1,9,14,0,0.0,0.0,0.0,0.0
topic,d077b,4,1,9,14,0,0.0,0.0,0.0,0.0
topic,d077b,5,1,9,14,0,0.0,0.0,0.0,0.0
topic,d077b,6,1,9,14,0,0.0,0.0,0.0,0.0
topic,d077b,7,1,9,14,0,0.0,0.0,0.0,0.0
topic,d077b,8,1,9,14,0,0.0,0.0,0.0,0.0
topic,d077b,9,1,9,14,0,0.0,0.0,0.0,0.0
topic,d079a,1,1,4,14,1,1.0,0.07142857142857142,0.13333333333333333,1.0
topic,d079a,2,1,4,14,1,0.5,0.07142857142857142,0.125,1.0
topic,d079a,3,1,4,14,1,0.3333333333333333,0.07142857142857142,0.11764705882352941,1.0
topic,d079a,4,1,4,14,1,0.25,0.07142857142857142,0.11111111111111112,1.0
topic,d080a,1,1,7,10,0,0.0,0.0,0.0,0.0
topic,d080a,2,1,7,10,0,0.0,0.0,0.0,0.0
topic,d080a,3,1,7,10,0,0.0,0.0,0.0,0.0
topic,d080a,4,1,7,10,0,0.0,0.0,0.0,0.0
topic,d080a,5,1,7,10,0,0.0,0.0,0.0,0.0
topic,d080a,6,1,7,10,0,0.0,0.0,0.0,0.0
topic,d080a,7,1,7,10,0,0.0,0.0,0.0,0.0
topic,d081a,1,1,5,17,0,0.0,0.0,0.0,0.0
